Timestamp,Task ID,Author,Message
2026-07-22 09:15:00,TSK-015,Manager,Progres soal OJK gimana? Ini blocker untuk paket TO.
2026-07-22 10:02:00,TSK-015,Staff Soal,"Baru 120 dari 200. Numerik makan waktu, @Manager boleh minta tambahan 3 hari?"
2026-07-23 08:40:00,TSK-015,Manager,"Oke, saya geser deadline. Fokus selesaikan dulu batch 3."
2026-07-25 13:20:00,TSK-018,Staff Input,"Input Markaz sudah 130/150, sisanya besok pagi."
2026-07-26 09:05:00,TSK-018,Manager,@everyone tolong bantu cek preview Markaz sore ini ya.
2026-07-27 11:30:00,TSK-019,Staff Data,"Chart cohort retensi sudah jalan, tinggal filter platform."
2026-07-27 14:10:00,TSK-019,Manager,Mantap @Staff Data. Tambahin juga breakdown per stage kalau bisa.
2026-07-28 10:45:00,TSK-017,Staff Materi,@Leader Konten struktur bab Journey Polisi sudah oke belum?
2026-07-28 15:00:00,TSK-017,Leader Konten,Masih nunggu approval PM untuk bab 4—6.
2026-07-29 09:30:00,TSK-043,Manager,"Opsi pengecoh di 30 soal ini terlalu mudah ditebak, mohon diperbaiki."
2026-07-29 16:20:00,TSK-020,Staff Data,@Leader Sistem subbab JadiBUMN ada duplikat di kategori Numerik.
2026-07-30 08:55:00,TSK-020,Leader Sistem,"Sudah saya rapikan, terima kasih infonya."
2026-07-30 13:40:00,COL-001,Manager,"Update dong progres paket TO SNBT, @Staff Soal @Staff QC."
2026-07-30 14:25:00,COL-001,Staff Soal,Soal PU & PK selesai. Literasi + Matematika jalan minggu ini.
2026-07-31 09:10:00,COL-001,Staff QC,"Siap, begitu soal masuk saya langsung QC."
2026-07-26 10:00:00,COL-002,Staff QC,"QC video course CPNS sudah selesai semua, laporan menyusul."
2026-07-27 11:15:00,COL-002,Manager,Bagus. @Staff Input siap-siap untuk input & atur akses ya.
2026-07-24 09:45:00,TSK-048,Manager,Brief banner sudah dikirim ke tim Marketing.
2026-07-29 10:30:00,TSK-050,Staff Data,Data closing Juli sudah saya kirim ke Sales Ops.
2026-07-25 15:50:00,TSK-022,Staff Materi,"Paket 1—3 siap, paket 4—5 menyusul minggu depan."
