,PRODUCTTRACK — DATABASE TASK,,,,,,,,,,,,,,,,,,,,
,Baris 3 = header. Data mulai baris 4. Jangan mengubah urutan kolom.,,,,,,,,,,,,,,,,,,,,
,Task ID,Created Date,Due Date,Status,Priority,Task Name,Stage,Platform,PIC,Support,Document,PIC Notes,PM Notes,Divisi Tujuan,Kontak Divisi,Kata Kerja,Jumlah,Objek,Detail,Dibuat Oleh,Lintas View
,TSK-001,2026-06-08,2026-06-20,Done,Normal,Melakukan QC 50 video pembahasan BAPPENAS,QC Konten,JadiASN,Staff QC,,Paket 5 — Batch A,"Semua lolos QC, 3 video retake ringan.",,,,Melakukan,50,QC,video pembahasan BAPPENAS,Manager,
,TSK-002,2026-06-12,2026-06-22,Done,High,Menyusun kurikulum SNBT 2026,RnD,Cerebrum,Leader Konten,Manager,Draft Kurikulum SNBT,Sudah disetujui PM.,"Bagus, lanjut ke blueprint soal.",,,Menyusun,1,kurikulum,SNBT 2026,Manager,
,TSK-003,2026-06-15,2026-06-25,Done,Normal,Menginput 120 soal TIU ke SIADU,Input,Siadu,Staff Input,Staff Materi,Bank Soal TIU Batch 7,,,,,Menginput,120,soal,TIU batch 7,Manager,
,TSK-004,2026-06-16,2026-06-27,Done,Low,Membuat query rekap pembelian per platform,Data & Intelligence,All Platform,Staff Data,,Query Rekap v2,Query sudah dipakai tim Sales.,,,,Membuat,1,query,rekap pembelian,Staff Data,
,TSK-005,2026-06-20,2026-06-30,Done,Urgent,Generate ulang paket Tryout JadiPPPK,Manajemen Sistem,JadiPPPK,Leader Sistem,Staff Input,,Paket 1—12 sudah regenerate.,Cek ulang skor template.,,,Generate/regenerate,12,paket,Tryout JadiPPPK,Manager,
,TSK-006,2026-06-22,2026-07-02,Done,Normal,Mengambil video pembahasan Numerik 40 soal,Develop Materi,JadiASN,Staff Soal,Staff Liveclass,Studio Booking #22,,,,,Mengambil (take),40,video pembahasan,Numerik,Manager,
,TSK-007,2026-06-25,2026-07-05,Done,High,Mendistribusikan proyek komplit ke 12 guru,Manajemen Guru,All Platform,Staff Liveclass,,Sheet Distribusi Juni,Semua guru sudah konfirmasi.,,,,Mendistribusikan,12,proyek komplit,batch Juni,Manager,
,TSK-008,2026-06-27,2026-07-08,Done,Normal,Menyelesaikan report bulanan progres konten,Report,All Platform,Manager,Staff Data,Report Konten Mei,,,,,Menyelesaikan,1,report,bulanan Mei,Manager,
