User,Title,URL,Folder
Manager,Spreadsheet Master Konten,https://docs.google.com/spreadsheets/,Kerja
Manager,Kalender Liveclass,https://calendar.google.com/,Kerja
Manager,Brand Guide Cerebrum,https://drive.google.com/,Referensi
Staff Data,Dashboard Data Intelligence,https://lookerstudio.google.com/,Dashboard
Staff Data,Query Library,https://docs.google.com/document/,Dashboard
Staff Data,Dokumentasi API Internal,https://drive.google.com/,Teknis
Staff Soal,Bank Soal TIU,https://drive.google.com/,Bank Soal
Staff Soal,Kisi-kisi SNBT Resmi,https://drive.google.com/,Referensi
Staff Soal,Template Pembahasan,https://docs.google.com/document/,Bank Soal
Staff QC,Checklist QC Standar,https://docs.google.com/document/,
Staff QC,Folder Video Pembahasan,https://drive.google.com/,QC
Leader Konten,Kurikulum Semua Platform,https://drive.google.com/,Kurikulum
Staff Input,Panduan Input SIADU,https://docs.google.com/document/,
