Task ID,Item,Done,Created By,Checked By,Checked At
TSK-015,Kumpulkan referensi kisi-kisi OJK,TRUE,Manager,Staff Soal,2026-07-27 10:00:00
TSK-015,Buat 50 soal batch 1,TRUE,Manager,Staff Soal,2026-07-27 10:00:00
TSK-015,Buat 50 soal batch 2,TRUE,Manager,Staff Soal,2026-07-27 10:00:00
TSK-015,Buat 50 soal batch 3,FALSE,Manager,,
TSK-015,Buat 50 soal batch 4,FALSE,Manager,,
TSK-015,Tulis pembahasan semua soal,FALSE,Manager,,
TSK-018,Siapkan file sumber 150 soal,TRUE,Manager,Staff Input,2026-07-27 10:00:00
TSK-018,Input soal 1—50,TRUE,Manager,Staff Input,2026-07-27 10:00:00
TSK-018,Input soal 51—100,TRUE,Manager,Staff Input,2026-07-27 10:00:00
TSK-018,Input soal 101—150,TRUE,Manager,Staff Input,2026-07-27 10:00:00
TSK-018,Cek tampilan di preview Markaz,FALSE,Manager,,
TSK-019,Tarik data aktivitas 6 bulan,TRUE,Staff Data,Staff Data,2026-07-27 10:00:00
TSK-019,Bangun chart cohort retensi,TRUE,Staff Data,Staff Data,2026-07-27 10:00:00
TSK-019,Tambah filter per platform,FALSE,Staff Data,,
TSK-019,Uji akses untuk tim PM,FALSE,Staff Data,,
TSK-022,Susun blueprint 5 paket,TRUE,Manager,Staff Materi,2026-07-27 10:00:00
TSK-022,Paket 1 — 100 soal,FALSE,Manager,,
TSK-022,Paket 2 — 100 soal,FALSE,Manager,,
TSK-022,Paket 3 — 100 soal,FALSE,Manager,,
TSK-022,QC silang antar paket,FALSE,Manager,,
TSK-028,Kumpulkan pola deret populer,FALSE,Manager,,
TSK-028,Buat 45 soal,FALSE,Manager,,
TSK-028,Tulis pembahasan,FALSE,Manager,,
TSK-028,Cek tingkat kesulitan,FALSE,Manager,,
TSK-033,Tentukan struktur bab,TRUE,Manager,Staff Materi,2026-07-27 10:00:00
TSK-033,Tulis materi bab 1—3,TRUE,Manager,Staff Materi,2026-07-27 10:00:00
TSK-033,Tulis materi bab 4—6,TRUE,Manager,Staff Materi,2026-07-27 10:00:00
TSK-033,Sisipkan contoh soal,TRUE,Manager,Staff Materi,2026-07-27 10:00:00
TSK-033,Proofread akhir,TRUE,Manager,Leader Konten,2026-07-27 10:00:00
TSK-043,Identifikasi 30 soal bermasalah,TRUE,Manager,Staff Soal,2026-07-27 10:00:00
TSK-043,Perbaiki opsi pengecoh,FALSE,Manager,,
TSK-043,Kirim ulang untuk review,FALSE,Manager,,
COL-001#2,Soal Penalaran Umum (60),TRUE,Staff Soal,Staff Soal,2026-07-28 11:00:00
COL-001#2,Soal Pengetahuan Kuantitatif (60),TRUE,Staff Soal,Staff Soal,2026-07-28 11:00:00
COL-001#2,Soal Literasi Bahasa (60),FALSE,Staff Soal,,
COL-001#2,Soal Penalaran Matematika (70),FALSE,Staff Soal,,
COL-001#2,Tulis pembahasan semua soal,FALSE,Staff Soal,,
COL-002#4,Cek audio 40 video,TRUE,Staff QC,Staff QC,2026-07-28 11:00:00
COL-002#4,Cek sinkron materi & video,TRUE,Staff QC,Staff QC,2026-07-28 11:00:00
COL-002#4,Cek bumper & thumbnail,TRUE,Staff QC,Staff QC,2026-07-28 11:00:00
COL-002#4,Buat laporan QC,TRUE,Staff QC,Staff QC,2026-07-28 11:00:00
COL-004#2,Tahap 1 — Dasar,TRUE,Staff Materi,Staff Materi,2026-07-28 11:00:00
COL-004#2,Tahap 2 — Menengah,FALSE,Staff Materi,,
COL-004#2,Tahap 3 — Mahir,FALSE,Staff Materi,,
COL-005#1,Kurasi soal mudah (200),FALSE,Staff Soal,,
COL-005#1,Kurasi soal sedang (200),FALSE,Staff Soal,,
COL-005#1,Kurasi soal sulit (100),FALSE,Staff Soal,,
COL-005#1,Validasi duplikasi,FALSE,Staff Soal,,
