Timestamp,User,Action,Task ID,Detail
2026-07-16 09:00:00,Manager,Create Task,TSK-021,Mengambil video pembahasan TWK 35 soal • Status: Todo • PIC: Staff Soal
2026-07-18 10:15:00,Manager,Create Task,TSK-022,Menyusun paket Tryout Beasiswa LPDP • Status: Todo • PIC: Staff Materi
2026-07-20 08:30:00,Staff Data,Update Task,TSK-019,status → In progress
2026-07-21 09:15:00,Manager,Comment,TSK-015,Progres soal OJK gimana? Ini blocker untuk paket TO.
2026-07-21 10:02:00,Staff Soal,Comment,TSK-015,Baru 120 dari 200. Numerik makan waktu...
2026-07-22 11:00:00,Staff QC,Update Task,TSK-009,status → Done
2026-07-22 11:30:00,Manager,Checklist Add,TSK-015,Buat 50 soal batch 4
2026-07-23 09:45:00,Manager,Comment,TSK-048,Brief banner sudah dikirim ke tim Marketing.
2026-07-23 14:00:00,Leader Konten,Collab Step Done,COL-001,Proses 1: Menyusun kurikulum & blueprint
2026-07-24 13:20:00,Staff Input,Comment,TSK-018,"Input Markaz sudah 130/150, sisanya besok pagi."
2026-07-24 15:50:00,Staff Materi,Comment,TSK-022,"Paket 1—3 siap, paket 4—5 menyusul minggu depan."
2026-07-25 09:05:00,Manager,Comment,TSK-018,@everyone tolong bantu cek preview Markaz sore ini ya.
2026-07-25 10:00:00,Staff QC,Comment,COL-002,QC video course CPNS sudah selesai semua.
2026-07-25 16:30:00,Manager,Update Task,TSK-013,status → Done
2026-07-26 11:15:00,Manager,Comment,COL-002,Bagus. @Staff Input siap-siap untuk input & atur akses ya.
2026-07-26 11:30:00,Staff Data,Comment,TSK-019,"Chart cohort retensi sudah jalan, tinggal filter platform."
2026-07-26 14:10:00,Manager,Comment,TSK-019,Mantap @Staff Data. Tambahin juga breakdown per stage kalau bisa.
2026-07-26 17:00:00,Staff Soal,Collab Step Done,COL-002,Proses 3: Take video 40 sesi
2026-07-27 10:45:00,Staff Materi,Comment,TSK-017,@Leader Konten struktur bab Journey Polisi sudah oke belum?
2026-07-27 15:00:00,Leader Konten,Comment,TSK-017,Masih nunggu approval PM untuk bab 4—6.
2026-07-27 16:10:00,Manager,Update Task,TSK-014,status → Done
2026-07-28 09:30:00,Manager,Comment,TSK-043,Opsi pengecoh di 30 soal ini terlalu mudah ditebak.
2026-07-28 10:30:00,Staff Data,Comment,TSK-050,Data closing Juli sudah saya kirim ke Sales Ops.
2026-07-28 13:00:00,Staff Input,Update Task,TSK-018,status → In progress
2026-07-28 16:20:00,Staff Data,Comment,TSK-020,@Leader Sistem subbab JadiBUMN ada duplikat di kategori Numerik.
2026-07-29 08:55:00,Leader Sistem,Comment,TSK-020,"Sudah saya rapikan, terima kasih infonya."
2026-07-29 09:30:00,Manager,Update Task,TSK-012,status → Done
2026-07-29 13:40:00,Manager,Comment,COL-001,"Update dong progres paket TO SNBT, @Staff Soal @Staff QC."
2026-07-29 14:25:00,Staff Soal,Comment,COL-001,Soal PU & PK selesai. Literasi + Matematika jalan minggu ini.
2026-07-29 15:30:00,Staff QC,Collab Step Done,COL-006,Proses 1: Audit materi lama
2026-07-30 08:15:00,Manager,Create Task,TSK-050,Request data closing penjualan Juli • Status: Review PM • PIC: Staff Data
2026-07-30 09:10:00,Staff QC,Comment,COL-001,"Siap, begitu soal masuk saya langsung QC."
2026-07-30 09:40:00,Staff Soal,Checklist Add,COL-001#2,Tulis pembahasan semua soal
2026-07-30 10:20:00,Manager,Update Task,TSK-011,status → Done
